STT,OLT Hostname,Site Code,Đơn vị quản lý,Lớp mạng,OLT Vander,OLT Type,IP,Tình trạng white-list
233,YGN0678OLT001,YGN0678,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.98.161,Chưa add white-list
234,YGN0023OLT002,YGN0023,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.4.146,Chưa add white-list
235,YGN1237OLT001,YGN1237,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.87.1,Chưa add white-list
236,YGN1230OLT001,YGN1230,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.108.115,Chưa add white-list
237,YGN1347OLT001,YGN1347,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.109.33,Chưa add white-list
238,YGN0969OLT001,YGN0969,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.99.81,Chưa add white-list
239,YGN0710OLT001,YGN0710,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.19.209,Chưa add white-list
240,YGN1081OLT001,YGN1081,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.97.81,Chưa add white-list
241,YGN0031OLT002,YGN0031,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.103.146,Chưa add white-list
242,YGN0494OLT001,YGN0494,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.97.177,Chưa add white-list
243,YGN0701OLT001,YGN0701,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.19.193,Chưa add white-list
244,YGN0436OLT001,YGN0436,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.108.178,Chưa add white-list
245,YGN1214OLT001,YGN1214,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.96.209,Chưa add white-list
246,YGN1735OLT001,YGN1735,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.83.1,Chưa add white-list
247,YGN0607OLT001,YGN0607,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.24.97,Chưa add white-list
248,YGN1373OLT001,YGN1373,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.108.113,Chưa add white-list
249,YGN0296OLT001,YGN0296,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.11.209,Chưa add white-list
250,YGN0001OLT002,YGN0001,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.105.36,Chưa add white-list
251,YGN1146OLT001,YGN1146,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.103.161,Chưa add white-list
252,YGN0815OLT001,YGN0815,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.84.177,Chưa add white-list
253,YGN1268OLT001,YGN1268,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.101.145,Chưa add white-list
254,YGN0563OLT001,YGN0563,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.8.209,Chưa add white-list
255,YGN0190OLT001,YGN0190,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.3.177,Chưa add white-list
256,YGN1365OLT001,YGN1365,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.90.33,Chưa add white-list
257,YGN0976OLT001,YGN0976,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.1,Chưa add white-list
258,YGN0580OLT001,YGN0580,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.101.33,Chưa add white-list
259,YGN0196OLT001,YGN0196,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.5.81,Chưa add white-list
260,YGN1204OLT001,YGN1204,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.93.177,Chưa add white-list
261,YGN0024OLT001,YGN0024,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.103.65,Chưa add white-list
262,YGN1303OLT002,YGN1303,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.91.66,Chưa add white-list
263,YGN1303OLT001,YGN1303,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.91.65,Chưa add white-list
264,YGN1387OLT001,YGN1387,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.92.129,Chưa add white-list
265,YGN1217OLT001,YGN1217,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.94.145,Chưa add white-list
266,YGN1380OLT001,YGN1380,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.106.161,Chưa add white-list
267,YGN1427OLT003,YGN1427,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.89.195,Chưa add white-list
268,YGN1411OLT001,YGN1411,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.92.177,Chưa add white-list
269,YGN1229OLT001,YGN1229,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.3.225,Chưa add white-list
270,YGN0320OLT001,YGN0320,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.13.113,Chưa add white-list
271,YGN1423OLT001,YGN1423,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.90.97,Chưa add white-list
272,YGN1651OLT001,YGN1651,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.87.193,Chưa add white-list
273,YGN0401OLT001,YGN0401,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.10.193,Chưa add white-list
274,YGN1125OLT001,YGN1125,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.24.177,Chưa add white-list
275,YGN0564OLT001,YGN0564,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.6.97,Chưa add white-list
276,YGN1121OLT001,YGN1121,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.24.209,Chưa add white-list
277,YGN1531OLT001,YGN1531,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.88.241,Chưa add white-list
278,YGN1258OLT001,YGN1258,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.118.17,Chưa add white-list
279,YGN1427OLT001,YGN1427,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.89.193,Chưa add white-list
280,YGN1281OLT003,YGN1281,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.92.51,Chưa add white-list
281,YGN1025OLT001,YGN1025,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.24.193,Chưa add white-list
282,YGN1315OLT001,YGN1315,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.93.97,Chưa add white-list
283,YGN1701OLT001,YGN1701,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.87.145,Chưa add white-list
284,YGN1689OLT003,YGN1689,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.87.179,Chưa add white-list
285,YGN0292OLT001,YGN0292,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.11.33,Chưa add white-list
286,YGN0413OLT001,YGN0413,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.24.195,Chưa add white-list
287,YGN1281OLT001,YGN1281,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.92.49,Chưa add white-list
288,YGN0027OLT001,YGN0027,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.87.161,Chưa add white-list
289,YGN0026OLT001,YGN0026,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.93.49,Chưa add white-list
290,YGN0755OLT001,YGN0755,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.24.17,Chưa add white-list
291,YGN0411OLT001,YGN0411,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.25.177,Chưa add white-list
292,YGN0285OLT001,YGN0285,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.10.177,Chưa add white-list
293,YGN0026OLT003,YGN0026,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.93.51,Chưa add white-list
294,YGN1249OLT001,YGN1249,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.90.193,Chưa add white-list
295,YGN1431OLT001,YGN1431,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.105.113,Chưa add white-list
296,YGN1176OLT001,YGN1176,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.105.145,Chưa add white-list
297,YGN1363OLT001,YGN1363,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.102.49,Chưa add white-list
298,YGN0576OLT001,YGN0576,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.145,Chưa add white-list
299,YGN0723OLT001,YGN0723,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.119.97,Chưa add white-list
300,YGN1235OLT001,YGN1235,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.103.145,Chưa add white-list
301,YGN1250OLT001,YGN1250,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.90.209,Chưa add white-list
302,YGN1193OLT001,YGN1193,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.21.209,Chưa add white-list
303,YGN0001OLT003,YGN0001,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.83.18,Chưa add white-list
304,YGN1250OLT002,YGN1250,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.90.210,Chưa add white-list
305,YGN1085OLT001,YGN1085,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.103.241,Chưa add white-list
306,YGN1060OLT001,YGN1060,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.193,Chưa add white-list
307,YGN1409OLT001,YGN1409,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.87.131,Chưa add white-list
308,YGN0437OLT001,YGN0437,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.110.161,Chưa add white-list
309,YGN0486OLT001,YGN0486,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.177,Chưa add white-list
310,YGN0591OLT001,YGN0591,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.8.1,Chưa add white-list
311,YGN1307OLT001,YGN1307,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.121.49,Chưa add white-list
312,YGN0507OLT001,YGN0507,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.112.1,Chưa add white-list
313,YGN0937OLT001,YGN0937,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.122.65,Chưa add white-list
314,YGN1122OLT001,YGN1122,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.113.1,Chưa add white-list
315,YGN0553OLT001,YGN0553,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.8.65,Chưa add white-list
316,YGN1367OLT001,YGN1367,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.122.225,Chưa add white-list
317,YGN1232OLT001,YGN1232,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.111.113,Chưa add white-list
318,YGN1244OLT001,YGN1244,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.111.177,Chưa add white-list
319,YGN1608OLT001,YGN1608,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.88.129,Chưa add white-list
320,YGN0389OLT001,YGN0389,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.113.193,Chưa add white-list
321,YGN1292OLT001,YGN1292,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.88.81,Chưa add white-list
322,YGN0486OLT002,YGN0486,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.178,Chưa add white-list
323,YGN0699OLT001,YGN0699,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.118.145,Chưa add white-list
324,YGN1364OLT001,YGN1364,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.111.193,Chưa add white-list
325,YGN1238OLT001,YGN1238,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.121.145,Chưa add white-list
326,YGN0556OLT001,YGN0556,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.77.8.81,Chưa add white-list
327,YGN0491OLT001,YGN0491,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.112.49,Chưa add white-list
328,YGN0525OLT001,YGN0525,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.110.97,Chưa add white-list
329,YGN0500OLT001,YGN0500,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.242,Chưa add white-list
330,YGN0159OLT001,YGN0159,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.14.1,Chưa add white-list
331,YGN1308OLT001,YGN1308,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.110.242,Chưa add white-list
332,YGN0365OLT001,YGN0365,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.113.65,Chưa add white-list
333,YGN1192OLT001,YGN1192,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.21.177,Chưa add white-list
334,YGN1689OLT001,YGN1689,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.87.177,Chưa add white-list
335,YGN1301OLT001,YGN1301,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.95.225,Chưa add white-list
336,YGN0970OLT001,YGN0970,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.99.178,Chưa add white-list
337,YGN0265OLT001,YGN0265,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.77.12.33,Chưa add white-list
338,YGN1323OLT001,YGN1323,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.120.129,Chưa add white-list
339,YGN0500OLT002,YGN0500,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.102.243,Chưa add white-list
340,YGN0152OLT001,YGN0152,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.124.1,Chưa add white-list
341,YGN0395OLT001,YGN0395,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.123.97,Chưa add white-list
342,YGN0559OLT001,YGN0559,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.7.177,Chưa add white-list
343,YGN1165OLT001,YGN1165,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,Huawei,MA5801,10.69.83.161,Chưa add white-list
344,YGN0105OLT001,YGN0105,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.126.145,Chưa add white-list
345,YGN0001OLT001,YGN0001,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.105.33,Chưa add white-list
346,YGN0573OLT001,YGN0573,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.121.65,Chưa add white-list
347,YGN1068OLT001,YGN1068,MYT_YGN_TEAM12_Thanlyin,GPON_OLT,ZTE,C610,10.69.91.1,Chưa add white-list
348,YGN1370OLT001,YGN1370,MYT_YGN_TEAM07_Dagon Myothit (South),GPON_OLT,ZTE,C610,10.69.119.162,Chưa add white-list
349,YGN1294OLT001,YGN1294,MYT_YGN_TEAM07_Dagon Myothit (South),GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.122.49,Chưa add white-list
350,YGN1070OLT001,YGN1070,MYT_YGN_TEAM08_Hlaingtharya,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.93.161,Chưa add white-list
351,YGN0027OLT002,YGN0027,Yangon Region,GPON_OLT,ZTE,C610,10.69.87.162,Chưa add white-list
352,YGN1254OLT003,YGN1254,Yangon Region,GPON_OLT,ZTE,C610,10.69.83.243,Chưa add white-list
353,YGN1423OLT003,YGN1423,Yangon Region,GPON_OLT,ZTE,C610,10.69.90.99,Chưa add white-list
354,YGN1792OLT002,YGN1792,Yangon Region,GPON_OLT,ZTE,C610,10.69.84.210,Chưa add white-list
355,YGN0298OLT001,YGN0298,Yangon Region,GPON_OLT,ZTE,C610,10.77.11.113,Chưa add white-list
356,YGN1744OLT001,YGN1744,Yangon Region,GPON_OLT,ZTE,C610,10.69.99.2,Chưa add white-list
357,YGN1576OLT001,YGN1576,Yangon Region,GPON_OLT,ZTE,C610,10.69.108.97,Chưa add white-list
358,YGN0706OLT001,YGN0706,Yangon Region,GPON_OLT,ZTE,C610,10.69.99.33,Chưa add white-list
359,YGN1196OLT002,YGN1196,Yangon Region,GPON_OLT,ZTE,C610,10.69.96.2,Chưa add white-list
360,YGN1169OLT001,YGN1169,Yangon Region,GPON_OLT,ZTE,C610,10.69.94.177,Chưa add white-list
361,YGN0552OLT002,YGN0552,Yangon Region,GPON_OLT,ZTE,C610,10.77.7.34,Chưa add white-list
362,YGN1191OLT002,YGN1191,Yangon Region,GPON_OLT,ZTE,C610,10.77.18.2,Chưa add white-list
363,YGN1659OLT001,YGN1659,Yangon Region,GPON_OLT,ZTE,C610,10.69.84.50,Chưa add white-list
364,YGN0489OLT001,YGN0489,Yangon Region,GPON_OLT,ZTE,C610,10.69.109.66,Chưa add white-list
365,YGN1287OLT001,YGN1287,Yangon Region,GPON_OLT,ZTE,C610,10.69.109.65,Chưa add white-list
366,YGN1384OLT001,YGN1384,Yangon Region,GPON_OLT,ZTE,C610,10.69.106.113,Chưa add white-list
367,YGN1398OLT001,YGN1398,Yangon Region,GPON_OLT,ZTE,C610,10.69.100.49,Chưa add white-list
368,YGN0688OLT001,YGN0688,Yangon Region,GPON_OLT,ZTE,C610,10.77.20.17,Chưa add white-list
369,YGN0455OLT001,YGN0455,Yangon Region,GPON_OLT,ZTE,C610,10.77.23.225,Chưa add white-list
370,YGN1706OLT001,YGN1706,Yangon Region,GPON_OLT,ZTE,C610,10.77.0.113,Chưa add white-list
371,YGN1700OLT001,YGN1700,Yangon Region,GPON_OLT,ZTE,C610,10.77.24.1,Chưa add white-list
372,YGN0281OLT001,YGN0281,Yangon Region,GPON_OLT,ZTE,C610,10.69.94.209,Chưa add white-list
373,YGN1283OLT001,YGN1283,Yangon Region,GPON_OLT,ZTE,C610,10.69.105.97,Chưa add white-list
374,YGN0675OLT001,YGN0675,Yangon Region,GPON_OLT,ZTE,C610,10.77.20.145,Chưa add white-list
375,YGN1087OLT001,YGN1087,Yangon Region,GPON_OLT,ZTE,C610,10.69.121.51,Chưa add white-list
376,YGN1426OLT002,YGN1426,Yangon Region,GPON_OLT,ZTE,C610,10.77.6.18,Chưa add white-list
377,YGN0399OLT002,YGN0399,Yangon Region,GPON_OLT,ZTE,C610,10.69.113.242,Chưa add white-list
378,YGN1341OLT002,YGN1341,Yangon Region,GPON_OLT,ZTE,C610,10.69.102.98,Chưa add white-list
379,YGN1368OLT001,YGN1368,Yangon Region,GPON_OLT,ZTE,C610,10.69.108.161,Chưa add white-list
380,YGN1394OLT001,YGN1394,Yangon Region,GPON_OLT,ZTE,C610,10.69.121.33,Chưa add white-list
381,YGN1101OLT001,YGN1101,Yangon Region,GPON_OLT,ZTE,C610,10.77.5.241,Chưa add white-list
382,YGN0742OLT001,YGN0742,Yangon Region,GPON_OLT,ZTE,C610,10.77.4.33,Chưa add white-list
383,YGN1396OLT001,YGN1396,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C610,10.69.100.177,Chưa add white-list
384,YGN1740OLT001,YGN1740,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C610,10.77.0.1,Chưa add white-list
385,YGN0345OLT001,YGN0345,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C610,10.69.106.241,Chưa add white-list
386,YGN1265OLT001,YGN1265,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.105.49,Chưa add white-list
387,YGN0577OLT001,YGN0577,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.106.177,Chưa add white-list
388,YGN1350OLT001,YGN1350,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.106.81,Chưa add white-list
389,YGN0287OLT001,YGN0287,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.11.145,Chưa add white-list
390,YGN0204OLT001,YGN0204,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.3.145,Chưa add white-list
391,YGN0581OLT001,YGN0581,MYT_YGN_TEAM09_North Okkalapa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.7.193,Chưa add white-list
392,YGN1389OLT001,YGN1389,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C610,10.69.109.161,Chưa add white-list
393,YGN1068OLT002,YGN1068,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C610,10.69.91.2,Chưa add white-list
394,YGN1430OLT002,YGN1430,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C610,10.69.100.98,Chưa add white-list
395,YGN1245OLT001,YGN1245,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C610,10.69.110.50,Chưa add white-list
396,YGN0554OLT001,YGN0554,MYT_YGN_TEAM02_Thaketa,GPON_OLT,Huawei,MA5801,10.77.7.145,Chưa add white-list
397,YGN0565OLT001,YGN0565,MYT_YGN_TEAM02_Thaketa,GPON_OLT,Huawei,MA5801,10.77.8.145,Chưa add white-list
398,YGN1100OLT001,YGN1100,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C610,10.77.9.81,Chưa add white-list
399,YGN1107OLT001,YGN1107,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.8.177,Chưa add white-list
400,YGN0308OLT001,YGN0308,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.13.81,Chưa add white-list
401,YGN0291OLT001,YGN0291,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.11.193,Chưa add white-list
402,YGN0334OLT001,YGN0334,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.12.65,Chưa add white-list
403,YGN0286OLT001,YGN0286,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.9.209,Chưa add white-list
404,YGN0299OLT001,YGN0299,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.11.225,Chưa add white-list
405,YGN0185OLT001,YGN0185,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.123.209,Chưa add white-list
406,YGN1426OLT001,YGN1426,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.6.17,Chưa add white-list
407,YGN0582OLT001,YGN0582,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.8.49,Chưa add white-list
408,YGN0131OLT001,YGN0131,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.4.193,Chưa add white-list
409,YGN0289OLT001,YGN0289,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.9.241,Chưa add white-list
410,YGN0189OLT001,YGN0189,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.5.145,Chưa add white-list
411,YGN0147OLT001,YGN0147,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.123.225,Chưa add white-list
412,YGN0032OLT001,YGN0032,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.123.145,Chưa add white-list
413,YGN0531OLT001,YGN0531,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.6.65,Chưa add white-list
414,YGN0528OLT001,YGN0528,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.7.225,Chưa add white-list
415,YGN0589OLT001,YGN0589,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.6.33,Chưa add white-list
416,YGN0009OLT001,YGN0009,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.127.49,Chưa add white-list
417,YGN0587OLT001,YGN0587,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.6.1,Chưa add white-list
418,YGN0552OLT001,YGN0552,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.7.33,Chưa add white-list
419,YGN0075OLT001,YGN0075,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.126.65,Chưa add white-list
420,YGN0184OLT001,YGN0184,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.4.1,Chưa add white-list
421,YGN0107OLT001,YGN0107,MYT_YGN_TEAM02_Thaketa,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.125.1,Chưa add white-list
422,YGN0666OLT002,YGN0666,MYT_YGN_TEAM04_Mayangone,GPON_OLT,ZTE,C610,10.69.100.34,Chưa add white-list
423,YGN0178OLT001,YGN0178,MYT_YGN_TEAM04_Mayangone,GPON_OLT,ZTE,C610,10.77.15.65,Chưa add white-list
